cluster,count,land_area_total,Barren and sparsely vegetated land,Built-up land,Forest land,Grassland & woodland,Irrigated cultivated land,Rain-fed cultivated land,Water bodies,ALF Irrigation High,ALF Irrigation Intermediate,ALF Rain-fed High,ALF Rain-fed Intermediate,ALF Rain-fed Low,BAR Irrigation High,BAR Irrigation Intermediate,BAR Rain-fed High,BAR Rain-fed Intermediate,BAR Rain-fed Low,MAI Irrigation High,MAI Irrigation Intermediate,MAI Rain-fed High,MAI Rain-fed Intermediate,MAI Rain-fed Low,OAT Irrigation High,OAT Irrigation Intermediate,OAT Rain-fed High,OAT Rain-fed Intermediate,OAT Rain-fed Low,OTH Irrigation High,OTH Irrigation Intermediate,OTH Rain-fed High,OTH Rain-fed Intermediate,OTH Rain-fed Low,PEA Irrigation High,PEA Irrigation Intermediate,PEA Rain-fed High,PEA Rain-fed Intermediate,PEA Rain-fed Low,PTW Irrigation High,PTW Irrigation Intermediate,PTW Rain-fed High,PTW Rain-fed Intermediate,PTW Rain-fed Low,RAP Irrigation High,RAP Irrigation Intermediate,RAP Rain-fed High,RAP Rain-fed Intermediate,RAP Rain-fed Low,RYE Irrigation High,RYE Irrigation Intermediate,RYE Rain-fed High,RYE Rain-fed Intermediate,RYE Rain-fed Low,WHE Irrigation High,WHE Irrigation Intermediate,WHE Rain-fed High,WHE Rain-fed Intermediate,WHE Rain-fed Low
1,12126.0,471.33762,140.7533707870213,0.1250478445814581,190.67357418789368,109.12886386361862,0.22648101488429823,1.7578543489577938,27.31197872515244,1.121557045942404e-06,7.092198822416922e-07,1.121557045942404e-06,7.092198822416922e-07,3.9584364520231325e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010310324911982358,0.0006833580712880433,0.0006189510164806675,0.0005065149262500796,0.00028813293757620333,0.0005164027705594453,0.00031942932539483264,0.0005164027705594453,0.00031942932539483264,0.00015847765089909904,8.103249097802388e-05,5.0338117199016454e-05,8.015833670955747e-05,5.0338117199016454e-05,2.2637308056787473e-05,0.0,0.0,0.0,0.0,0.0
2,2477.0,96.28099,3.845411951761683,0.08280201430703407,63.025023401792396,18.750164584176204,0.031980342899619395,4.332240410737671,3.99777728558503,0.00037577714971058024,0.00023778764637045,0.00037577714971058024,0.00023778764637045,0.0001321356484894314,0.22906733957759573,0.13890831657701494,0.21170888179774056,0.13293112641532054,0.060904602316607756,0.0,0.0,0.0,0.0,0.0,0.12760141307084266,0.08071469515983162,0.11249059349912095,0.07485639887877318,0.03707238597450217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23873270089750506,0.15819354035895739,0.20982240577065583,0.14627408152825905,0.08026245452845625,0.05646124346438176,0.03547618088218829,0.05140084786717337,0.033617400089530736,0.0177809446821494,0.14296067822205724,0.08692935004704028,0.13415966897324605,0.08382381913784193,0.03785623736532161,0.24589927339438308,0.1484695600546506,0.22882858316745297,0.14244675023521106,0.06440758982227364
3,457.0,17.76359,0.033001328516055896,0.5462846295344962,6.2210216923000985,0.9013598245563584,0.12389521580750078,0.5151644306727738,2.2319128805841997,0.14189671811441895,0.08997768068470112,0.12956630213255427,0.08476958437873708,0.04898818379158004,0.8462649890056583,0.5304881838792259,0.8439695834070113,0.5302628009011499,0.22934398317232704,0.08042363197067896,0.05111050329270979,0.0697472647451989,0.04715623631258238,0.022212910345659743,0.46309321578795865,0.29628971515129643,0.43656848927295433,0.2867881840637008,0.13915076581863142,0.12210536122126435,0.09468161920554272,0.07646958408408533,0.0615539387357574,0.027002735257034616,0.31417439826468696,0.2149975932400912,0.2780312910382545,0.19729080959274148,0.0997056893498945,1.0015249469348066,0.6557884027451866,0.8831544871925014,0.5990054704428239,0.31584245031719915,0.39019102883286805,0.23408577674327308,0.3720781173434768,0.22605557939938414,0.10078555807243034,0.5130474840264354,0.3219619259009996,0.5046673967227895,0.3199599561858229,0.15159934360036703,0.8463547045083742,0.5305422320146788,0.8434404805139584,0.5301875272517131,0.22934442080345413
4,1017.0,39.53079,0.8692529743141892,0.2228038469623329,26.503762905860334,6.250057364919626,0.27330275551212796,0.891062828487102,2.888007322034207,0.07239695182299065,0.04582468037115315,0.03457885938994184,0.0244630284937082,0.016213569317595457,0.7717093409572968,0.48402399231433435,0.6939024585303777,0.44764995052165063,0.21298357898858444,0.05500855485715465,0.035002851568257685,0.011649262506584386,0.01106253690072569,0.008703343149717813,0.40918013817441146,0.2641585054181904,0.34541278312105433,0.23282625383332062,0.121450245884433,0.04292433629345397,0.032773352992393985,0.009300983271166867,0.007873992124094377,0.0003093903671836547,0.27351347083773464,0.1883995082877728,0.219729892108058,0.15837600790293876,0.09297384459712162,0.7940705009149129,0.519331170206811,0.638335890076036,0.43609813148176013,0.23169675493427921,0.3601124878126608,0.22225506408845197,0.3054353981711992,0.1945814162697881,0.0990359883334199,0.4547277285520538,0.2827535887149,0.40695545678059053,0.26053697118130853,0.12234287133024634,0.7717093409572968,0.48402399231433435,0.6910647002176074,0.44619970483414195,0.21255073719671702
5,1643.0,63.86341,0.4532862546069883,0.053215629023503734,43.802336049279006,15.485240089088746,0.10204392217599453,2.701373287965882,1.149304766445711,0.008842604999145354,0.005590992086701326,0.003671515523952023,0.002984662204799462,0.0019239196595772687,0.4214397442173971,0.25537638456735834,0.39041399859250187,0.24400535602070397,0.11226427259419065,0.0,0.0,0.0,0.0,0.0,0.28337735806887177,0.17938947046376275,0.25356189912220195,0.16733676202037476,0.08272154588055042,0.0,0.0,0.0,0.0,0.0,0.18784120513837063,0.12454668287815854,0.1718950701028344,0.11698794888782565,0.0651578819432494,0.5316689590528398,0.35232032883551745,0.4682477780108185,0.32354753492666544,0.17673128403618968,0.18532866720593125,0.11686202071457502,0.16973682277389818,0.11049683502876971,0.0585173462831025,0.28743858811192224,0.1739642728702801,0.26958344516707733,0.16782331107523252,0.07567948871861849,0.4285478391084306,0.25722209361727044,0.397519355479058,0.24567255015352912,0.11077924539820846
6,503.0,19.55161,0.35636435669439276,0.013370308010949501,7.519534483075608,1.1570321725712962,0.000580274666452,0.13150727047333197,1.8606911358520937,0.06703419493989016,0.04243777327639444,0.06678727645997261,0.04236938362093143,0.02357355864870381,0.5178546729666101,0.321059244290498,0.5173316113280493,0.32098767378221227,0.14084155067771847,0.0,0.0,0.0,0.0,0.0,0.36470238612612943,0.23537475095828542,0.36258131258530335,0.2346829021190318,0.11322504981137647,0.031099502866713702,0.023659840984562523,0.017617793190135646,0.013391848902401336,0.0012330019879886213,0.0004019880863591644,0.000167395627759323,0.0004019880863591644,0.000167395627759323,9.324055898260643e-05,0.6229852882104645,0.4039938373546709,0.6190677928166167,0.40254532831089607,0.19772027799670777,0.2906725646724284,0.17461252481515538,0.2895972167758296,0.17427952281286402,0.07971570572369618,0.3574115306672231,0.2204502980230344,0.3555852881482767,0.21985944336498725,0.09861113327160988,0.5179149116246886,0.32109840930574707,0.5173302196840169,0.3210137174333305,0.14085984093768453
7,1426.0,55.42862,2.0315117855057814,0.056580895872061714,34.98522141832722,7.231387176547336,0.027234737468091394,1.0414751935419189,3.60278879410703,0.012798387089125052,0.008100350640536522,0.012253436184949307,0.007899929881409374,0.004479593263487082,0.42213898997487376,0.26249382896309664,0.4043708273271026,0.2563000703593623,0.1186949508575535,0.0,0.0,0.0,0.0,0.0,0.23494852713582245,0.14964277699568845,0.2140825383960784,0.14098106597198845,0.07036500700016675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41652973283390443,0.2749557507196951,0.37858232763004157,0.25756430617137865,0.139114866803856,0.186809747487432,0.11552307146378021,0.17759859751267337,0.11197391297004657,0.05729368867412699,0.24357180911394538,0.15070806443273263,0.23565560996448867,0.14798835898432125,0.06709144456523658,0.43253870960037644,0.2697938289916532,0.4152551891425882,0.2635889905197922,0.12241171102077389
