cluster,ALF Irrigation High,ALF Irrigation Intermediate,ALF Rain-fed High,ALF Rain-fed Intermediate,ALF Rain-fed Low,WHE Irrigation High,WHE Irrigation Intermediate,WHE Rain-fed High,WHE Rain-fed Intermediate,WHE Rain-fed Low,RAP Irrigation High,RAP Irrigation Intermediate,RAP Rain-fed High,RAP Rain-fed Intermediate,RAP Rain-fed Low,OAT Irrigation High,OAT Irrigation Intermediate,OAT Rain-fed High,OAT Rain-fed Intermediate,OAT Rain-fed Low,BAR Irrigation High,BAR Irrigation Intermediate,BAR Rain-fed High,BAR Rain-fed Intermediate,BAR Rain-fed Low,PEA Irrigation High,PEA Irrigation Intermediate,PEA Rain-fed High,PEA Rain-fed Intermediate,PEA Rain-fed Low,MAI Irrigation High,MAI Irrigation Intermediate,MAI Rain-fed High,MAI Rain-fed Intermediate,MAI Rain-fed Low,RYE Irrigation High,RYE Irrigation Intermediate,RYE Rain-fed High,RYE Rain-fed Intermediate,RYE Rain-fed Low,PTW Irrigation High,PTW Irrigation Intermediate,PTW Rain-fed High,PTW Rain-fed Intermediate,PTW Rain-fed Low,OTH Irrigation High,OTH Irrigation Intermediate,OTH Rain-fed High,OTH Rain-fed Intermediate,OTH Rain-fed Low
1,3.506311360448808e-05,3.192805874102797e-05,3.506311360448808e-05,3.192805874102797e-05,2.7142975002062538e-05,0.0,0.0,0.0,0.0,0.0,0.0017733685339493442,0.0016176058081016419,0.0017733685339493442,0.0016176058081016419,0.0013766190908340895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020988367296427687,0.0001937133899843247,0.000208068641201221,0.00019387839287187525,0.00016789043808266646,0.0019151060143552511,0.0018042240739212937,0.0011040343206006106,0.001296427687484531,0.0012662321590627837,0.0,0.0,0.0,0.0,0.0
2,0.0083960436011304,0.007605167541380703,0.0083960436011304,0.007605167541380703,0.006403310456197013,0.30595195801372627,0.28610981025433996,0.2834432781590634,0.27316390795316914,0.2480718611223254,0.19692248687928945,0.18379006863140895,0.17358901897456602,0.1709107791683488,0.15689947517157854,0.23312555510698424,0.2187190149374243,0.20404279370205894,0.20121396851029472,0.1873007670569237,0.29170488494146146,0.2729245054501413,0.26848889786031493,0.26018893823173195,0.23672991522002423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2802155833669762,0.2619975777149778,0.2604073475979007,0.25046104158255955,0.2270359305611627,0.22041905530884134,0.2070209931368591,0.1929531691562374,0.19074687121517966,0.1779083568833266,0.0,0.0,0.0,0.0,0.0
3,0.677035010940919,0.6212800875273523,0.5761225382932166,0.5538402625820569,0.5067002188183808,0.3391816192560175,0.3100503282275711,0.3382582056892779,0.31001750547045953,0.26481181619256017,0.4269540481400438,0.3959277899343545,0.39030415754923414,0.3704266958424508,0.32849015317286656,0.35615536105032825,0.3277789934354486,0.32750984682713347,0.3102078774617068,0.27542231947483586,0.3355098468271335,0.30666739606126914,0.33480525164113784,0.306691466083151,0.2619146608315098,0.34357986870897156,0.3172735229759299,0.30647702407002186,0.2937483588621444,0.2670765864332604,0.06735448577680525,0.06261487964989058,0.05956236323851204,0.0585054704595186,0.05421881838074398,0.37151859956236327,0.324691466083151,0.34275054704595187,0.3134310722100656,0.264253829321663,0.3941750547045952,0.3669431072210066,0.3432472647702407,0.32966739606126916,0.3056258205689278,0.6734628008752735,0.6180142231947484,0.5725503282275711,0.550574398249453,0.44322647702407003
4,0.6347935103244838,0.5927689282202557,0.30133824975417894,0.3150452310717798,0.3311189773844641,0.34790757128810224,0.32431956735496553,0.31436283185840713,0.30121533923303834,0.2738220255653884,0.4048328416912487,0.37796656833824976,0.34477581120943956,0.33439331366764996,0.30818584070796456,0.3446283185840708,0.3220137659783678,0.29120747295968535,0.28224680432645033,0.26291052114060964,0.3447512291052114,0.32137364798426743,0.3127669616519174,0.2994001966568338,0.27180432645034414,0.33296755162241887,0.3139085545722714,0.27396755162241887,0.2687020648967552,0.2552261553588987,0.03515339233038348,0.033271386430678465,0.010033431661750246,0.01376007866273353,0.019271386430678467,0.34197935103244836,0.31935693215339234,0.310039331366765,0.2975506391347099,0.27297836774827927,0.3582477876106195,0.33525565388397244,0.2921819075712881,0.28347689282202554,0.26371681415929205,0.19543362831858407,0.18234414945919372,0.06532645034414947,0.06821828908554572,0.007638151425762045
5,0.22158794887401095,0.20771393791844187,0.08492391965916007,0.10418076688983567,0.11220876445526476,0.31656360316494214,0.2972057212416312,0.2972964090079124,0.2869780888618381,0.26115581253804016,0.3588782714546561,0.3367181984175289,0.3282604990870359,0.317989044430919,0.2907060255629945,0.29560012172854533,0.27948691418137556,0.27342361533779674,0.26628119293974434,0.2461655508216677,0.3122142422398052,0.2931625076080341,0.2931758977480219,0.2830626902008521,0.2578234936092514,0.27663785757760195,0.2624047474132684,0.2570371272063299,0.24882410225197807,0.22920754716981134,0.0,0.0,0.0,0.0,0.0,0.31344674376141207,0.2941460742544127,0.2959598295800365,0.2850973828362751,0.2589531345100426,0.29235605599513087,0.2750267802799756,0.26677480219111377,0.25920511259890444,0.23837188070602555,0.0,0.0,0.0,0.0,0.0
6,0.5149821073558648,0.4705188866799205,0.5091829025844931,0.46742544731610336,0.4007693836978131,0.28637176938369785,0.2706282306163022,0.2859721669980119,0.2704572564612326,0.23526043737574553,0.321220675944334,0.2979383697813121,0.3199642147117296,0.29742942345924456,0.25711332007952287,0.2525089463220676,0.23246918489065607,0.25101192842942344,0.23178926441351888,0.20373558648111334,0.2840258449304175,0.2683339960238569,0.2836580516898608,0.2681749502982107,0.23320874751491052,0.00045129224652087473,0.000415506958250497,0.00045129224652087473,0.000415506958250497,0.00035984095427435387,0.0,0.0,0.0,0.0,0.0,0.25554671968190856,0.23665009940357853,0.2552027833001988,0.2363479125248509,0.211934393638171,0.2511491053677933,0.23171570576540756,0.24954473161033797,0.23099602385685883,0.20125049701789266,0.1416938369781312,0.129220675944334,0.1416958250497018,0.12922465208747513,0.027560636182902585
7,0.20879242636746143,0.19124894810659185,0.18691935483870967,0.17755890603085556,0.15993899018232818,0.3175042075736325,0.297015427769986,0.30506661991584855,0.29033239831697055,0.2634109396914446,0.35700841514726506,0.33250350631136044,0.3333555399719495,0.3184438990182328,0.2854032258064516,0.26232819074333796,0.24621458625525947,0.24357854137447404,0.23471318373071529,0.2159172510518934,0.31135483870967745,0.2913688639551192,0.29871528751753157,0.2847847124824684,0.25860448807854136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015504908835904,0.28241935483870967,0.2918422159887798,0.27741444600280507,0.24820897615708276,0.2595539971949509,0.24292706872370265,0.24041093969144461,0.2305,0.21021528751753155,0.0,0.0,0.0,0.0,0.0
