cluster,ALF Irrigation High,ALF Irrigation Intermediate,ALF Rain-fed High,ALF Rain-fed Intermediate,ALF Rain-fed Low,WHE Irrigation High,WHE Irrigation Intermediate,WHE Rain-fed High,WHE Rain-fed Intermediate,WHE Rain-fed Low,RAP Irrigation High,RAP Irrigation Intermediate,RAP Rain-fed High,RAP Rain-fed Intermediate,RAP Rain-fed Low,OAT Irrigation High,OAT Irrigation Intermediate,OAT Rain-fed High,OAT Rain-fed Intermediate,OAT Rain-fed Low,BAR Irrigation High,BAR Irrigation Intermediate,BAR Rain-fed High,BAR Rain-fed Intermediate,BAR Rain-fed Low,PEA Irrigation High,PEA Irrigation Intermediate,PEA Rain-fed High,PEA Rain-fed Intermediate,PEA Rain-fed Low,MAI Irrigation High,MAI Irrigation Intermediate,MAI Rain-fed High,MAI Rain-fed Intermediate,MAI Rain-fed Low,RYE Irrigation High,RYE Irrigation Intermediate,RYE Rain-fed High,RYE Rain-fed Intermediate,RYE Rain-fed Low,PTW Irrigation High,PTW Irrigation Intermediate,PTW Rain-fed High,PTW Rain-fed Intermediate,PTW Rain-fed Low,OTH Irrigation High,OTH Irrigation Intermediate,OTH Rain-fed High,OTH Rain-fed Intermediate,OTH Rain-fed Low
1,8.250144377526607e-08,8.250144377526607e-08,8.250144377526607e-08,8.250144377526607e-08,8.250144377526607e-08,0.0,0.0,0.0,0.0,0.0,5.775101064268624e-06,5.775101064268624e-06,5.775101064268624e-06,5.775101064268624e-06,5.775101064268624e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77204851084894e-05,1.2622720897615708e-05,1.8975332068311195e-06,5.775101064268625e-07,5.775101064268625e-07,0.0004167147925088689,0.00030641036218133816,1.8975332068311193e-05,1.0642686247009323e-05,6.187608283144956e-06,0.0,0.0,0.0,0.0,0.0
2,1.8974566007266855e-05,1.8974566007266855e-05,1.8974566007266855e-05,1.8974566007266855e-05,1.8974566007266855e-05,0.050173193379087606,0.03338877674606379,0.01598909971740008,0.008717400080742834,0.004127573677836092,0.0314356075898264,0.02168106580540977,0.012151796528058135,0.007641098102543399,0.003710940654016956,0.04633104561970125,0.03134961647153815,0.016067016552280985,0.009626160678239806,0.004965684295518772,0.04849454985870004,0.032346386758175215,0.01601130399677029,0.008520387565603553,0.004010496568429552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044879289463060155,0.0294541784416633,0.011692369802180056,0.006883326604763827,0.0033843358901897457,0.045408155026241424,0.031226079935405732,0.01845458215583367,0.011727089220831651,0.0059620508679854665,0.0,0.0,0.0,0.0,0.0
3,0.12233916849015317,0.09363676148796499,0.08283588621444202,0.057343544857768054,0.02499781181619256,0.011538293216630198,0.005159737417943107,0.0018665207877461708,0.0011400437636761489,0.001,0.06740700218818381,0.050477024070021886,0.012969365426695844,0.006074398249452954,0.003514223194748359,0.049713347921225386,0.033649890590809625,0.010700218818380744,0.0054485776805251645,0.0018030634573304159,0.01048577680525164,0.004557986870897155,0.0016673960612691465,0.0010831509846827134,0.001,0.05480525164113786,0.03899781181619256,0.030078774617067833,0.019805251641137854,0.008431072210065645,0.010798687089715535,0.006964989059080963,0.005778993435448578,0.0033172866520787747,0.0007439824945295405,0.04451203501094092,0.018013129102844642,0.0016849015317286654,0.001100656455142232,0.0010153172866520788,0.06919037199124727,0.05117724288840263,0.038295404814004376,0.02510940919037199,0.010343544857768052,0.1223293216630197,0.09363019693654268,0.08282932166301969,0.05733698030634573,0.024326039387308533
4,0.2196755162241888,0.18701868239921335,0.053658800393313666,0.04755948869223206,0.03643362831858407,0.0658180924287119,0.05009931170108161,0.03169419862340216,0.02170796460176991,0.009148475909537856,0.09849065880039332,0.07826155358898722,0.06044051130776794,0.04389478859390364,0.018246804326450344,0.0817551622418879,0.06382497541789577,0.04252409046214356,0.02946312684365782,0.013632251720747297,0.0638495575221239,0.048445427728613565,0.03021533923303835,0.020586037364798426,0.008584070796460177,0.08567846607669617,0.0685929203539823,0.05825172074729597,0.044412979351032444,0.026507374631268437,0.019772861356932153,0.017367748279252707,0.005501474926253687,0.007246804326450344,0.008928220255653884,0.06490560471976402,0.04912094395280236,0.029964601769911503,0.02074139626352016,0.010551622418879057,0.09648279252704031,0.07768043264503441,0.06102261553588987,0.04634709931170108,0.02742379547689282,0.07852458210422812,0.06825417895771878,0.00980432645034415,0.009542772861356932,0.0023579154375614553
5,0.08036275106512476,0.06781558125380402,0.017392574558734022,0.017150334753499696,0.009041996348143639,0.05963481436396835,0.04107973219720024,0.0200219111381619,0.011336579427875837,0.004712111990261716,0.07230310407790627,0.05103834449178332,0.03096104686548996,0.019258673158855752,0.009364576993304929,0.06589653073645771,0.04630797321972003,0.026712111990261717,0.016618989653073644,0.008218502738892271,0.05870906877662812,0.040297017650639075,0.01996956786366403,0.011048082775410834,0.004460742544126598,0.04908825319537431,0.03334875228241022,0.020822884966524652,0.014537431527693243,0.008119293974437005,0.0,0.0,0.0,0.0,0.0,0.05762264150943396,0.03932623250152161,0.018261107729762627,0.010107729762629336,0.004102251978088862,0.0684863055386488,0.049797321972002435,0.02966828971393792,0.018975045648204503,0.009784540474741327,0.0,0.0,0.0,0.0,0.0
6,0.011294234592445327,0.007628230616302186,0.00578727634194831,0.0036520874751491054,0.0017077534791252484,0.0030258449304174954,0.0020497017892644135,0.0012564612326043739,0.0010417495029821074,0.001,0.005210735586481113,0.003467196819085487,0.0022326043737574556,0.001514910536779324,0.0010238568588469186,0.0043200795228628235,0.002908548707753479,0.0024493041749502984,0.0016520874751491054,0.001073558648111332,0.0029343936381709744,0.0019801192842942347,0.0012286282306163022,0.0010357852882703778,0.001,1.9880715705765407e-06,1.9880715705765407e-06,1.9880715705765407e-06,1.9880715705765407e-06,1.9880715705765407e-06,0.0,0.0,0.0,0.0,0.0,0.0043200795228628235,0.002908548707753479,0.002,0.0015526838966202783,0.00105168986083499,0.0037892644135188868,0.002576540755467197,0.002497017892644135,0.001727634194831014,0.0011451292246520875,0.00046520874751491053,0.0003389662027833002,0.00026938369781312124,0.0002664015904572565,7.554671968190855e-05
7,0.014864656381486676,0.011595371669004206,0.005161991584852734,0.004502103786816269,0.002643758765778401,0.037588359046283305,0.026368863955119212,0.013109396914446004,0.007593969144460028,0.0033057503506311358,0.05085273492286115,0.03730785413744741,0.023129032258064515,0.013863955119214585,0.005196353436185134,0.04414726507713885,0.03189901823281907,0.020958625525946704,0.013260168302945302,0.0054593267882187945,0.03703856942496494,0.025899018232819072,0.013436185133239832,0.007518232819074334,0.0031633941093969146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03459186535764376,0.023692847124824685,0.010889901823281907,0.006276998597475456,0.002661991584852735,0.04131416549789621,0.02971107994389902,0.0216781206171108,0.014398316970546984,0.0062931276297335205,0.0,0.0,0.0,0.0,0.0
