REGION,FUEL,YEAR,VALUE
REGION1,WTRSURBC1,2021,0
REGION1,AGRDSL,2022,0
REGION1,AGRELCB02,2022,0
REGION1,AGRNGS,2022,0
REGION1,AGRWATBC1,2022,0
REGION1,BIO,2022,0
REGION1,COA,2022,0
REGION1,COMBIO,2022,0
REGION1,COMELCB02,2022,59.36
REGION1,COMKER,2022,0
REGION1,COMNGS,2022,0
REGION1,CRPALF,2022,0
REGION1,CRPBRL,2022,0
REGION1,CRPMAI,2022,0
REGION1,CRPOAT,2022,0
REGION1,CRPOTH,2022,0
REGION1,CRPPEA,2022,0
REGION1,CRPPTW,2022,0
REGION1,CRPRAP,2022,0
REGION1,CRPRYE,2022,0
REGION1,CRPWHE,2022,0
REGION1,CRU,2022,0
REGION1,DSL,2022,0
REGION1,ELCB01,2022,0
REGION1,ELCB02,2022,0
REGION1,GEO,2022,0
REGION1,GSL,2022,0
REGION1,HFO,2022,0
REGION1,HYD,2022,0
REGION1,INDBIO,2022,0
REGION1,INDDSL,2022,0
REGION1,INDELCB02,2022,101.77
REGION1,INDNGS,2022,0
REGION1,JFL,2022,0
REGION1,KER,2022,0
REGION1,LALFHIBC1,2022,0
REGION1,LALFHRBC1,2022,0
REGION1,LALFIIBC1,2022,0
REGION1,LALFIRBC1,2022,0
REGION1,LALFLRBC1,2022,0
REGION1,LBARBC1,2022,0
REGION1,LBC1,2022,0
REGION1,LBLTBC1,2022,0
REGION1,LBRLHIBC1,2022,0
REGION1,LBRLHRBC1,2022,0
REGION1,LBRLIIBC1,2022,0
REGION1,LBRLIRBC1,2022,0
REGION1,LBRLLRBC1,2022,0
REGION1,LFORBC1,2022,0
REGION1,LGRSBC1,2022,0
REGION1,LMAIHIBC1,2022,0
REGION1,LMAIHRBC1,2022,0
REGION1,LMAIIIBC1,2022,0
REGION1,LMAIIRBC1,2022,0
REGION1,LMAILRBC1,2022,0
REGION1,LND4PWR,2022,0
REGION1,LOATHIBC1,2022,0
REGION1,LOATHRBC1,2022,0
REGION1,LOATIIBC1,2022,0
REGION1,LOATIRBC1,2022,0
REGION1,LOATLRBC1,2022,0
REGION1,LOTHBC1,2022,0
REGION1,LOTHHIBC1,2022,0
REGION1,LOTHHRBC1,2022,0
REGION1,LOTHIIBC1,2022,0
REGION1,LOTHIRBC1,2022,0
REGION1,LOTHLRBC1,2022,0
REGION1,LPEAHIBC1,2022,0
REGION1,LPEAHRBC1,2022,0
REGION1,LPEAIIBC1,2022,0
REGION1,LPEAIRBC1,2022,0
REGION1,LPEALRBC1,2022,0
REGION1,LPG,2022,0
REGION1,LPTWHIBC1,2022,0
REGION1,LPTWHRBC1,2022,0
REGION1,LPTWIIBC1,2022,0
REGION1,LPTWIRBC1,2022,0
REGION1,LPTWLRBC1,2022,0
REGION1,LRAPHIBC1,2022,0
REGION1,LRAPHRBC1,2022,0
REGION1,LRAPIIBC1,2022,0
REGION1,LRAPIRBC1,2022,0
REGION1,LRAPLRBC1,2022,0
REGION1,LRYEHIBC1,2022,0
REGION1,LRYEHRBC1,2022,0
REGION1,LRYEIIBC1,2022,0
REGION1,LRYEIRBC1,2022,0
REGION1,LRYELRBC1,2022,0
REGION1,LWATBC1,2022,0
REGION1,LWHEHIBC1,2022,0
REGION1,LWHEHRBC1,2022,0
REGION1,LWHEIIBC1,2022,0
REGION1,LWHEIRBC1,2022,0
REGION1,LWHELRBC1,2022,0
REGION1,NGS,2022,0
REGION1,PUBWATBC1,2022,0
REGION1,PWRBIO,2022,0
REGION1,PWRGEO,2022,0
REGION1,PWRHYD,2022,0
REGION1,PWRNGS,2022,0
REGION1,PWRSOL,2022,0
REGION1,PWRURN,2022,0
REGION1,PWRWATBC1,2022,0
REGION1,PWRWND,2022,0
REGION1,RESBIO,2022,0
REGION1,RESELCB02,2022,77.71
REGION1,RESKER,2022,0
REGION1,RESNGS,2022,0
REGION1,SOL,2022,0
REGION1,TRABIO,2022,0
REGION1,TRADSL,2022,0
REGION1,TRAELCB02,2022,2.08
REGION1,TRAGSL,2022,0
REGION1,TRAHFO,2022,0
REGION1,TRAJFL,2022,0
REGION1,TRALPG,2022,0
