REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
REGION1,DEMAGRDSL,SEA4D,2026,1
REGION1,DEMAGRDSL,SEA4N,2026,1
REGION1,DEMAGRDSL,SEA1D,2027,1
REGION1,DEMAGRDSL,SEA1N,2027,1
REGION1,DEMAGRDSL,SEA2D,2027,1
REGION1,DEMAGRDSL,SEA2N,2027,1
REGION1,DEMAGRDSL,SEA3D,2027,1
REGION1,DEMAGRDSL,SEA3N,2027,1
REGION1,DEMAGRDSL,SEA4D,2027,1
REGION1,DEMAGRDSL,SEA4N,2027,1
REGION1,DEMAGRDSL,SEA1D,2028,1
REGION1,DEMAGRDSL,SEA1N,2028,1
REGION1,DEMAGRDSL,SEA2D,2028,1
REGION1,DEMAGRDSL,SEA2N,2028,1
REGION1,DEMAGRDSL,SEA3D,2028,1
REGION1,DEMAGRDSL,SEA3N,2028,1
REGION1,DEMAGRDSL,SEA4D,2028,1
REGION1,DEMAGRDSL,SEA4N,2028,1
REGION1,DEMAGRDSL,SEA1D,2029,1
REGION1,DEMAGRDSL,SEA1N,2029,1
REGION1,DEMAGRDSL,SEA2D,2029,1
REGION1,DEMAGRDSL,SEA2N,2029,1
REGION1,DEMAGRDSL,SEA3D,2029,1
REGION1,DEMAGRDSL,SEA3N,2029,1
REGION1,DEMAGRDSL,SEA4D,2029,1
REGION1,DEMAGRDSL,SEA4N,2029,1
REGION1,DEMAGRDSL,SEA1D,2030,1
REGION1,DEMAGRDSL,SEA1N,2030,1
REGION1,DEMAGRDSL,SEA2D,2030,1
REGION1,DEMAGRDSL,SEA2N,2030,1
REGION1,DEMAGRDSL,SEA3D,2030,1
REGION1,DEMAGRDSL,SEA3N,2030,1
REGION1,DEMAGRDSL,SEA4D,2030,1
REGION1,DEMAGRDSL,SEA4N,2030,1
REGION1,DEMAGRDSL,SEA1D,2031,1
REGION1,DEMAGRDSL,SEA1N,2031,1
REGION1,DEMAGRDSL,SEA2D,2031,1
REGION1,DEMAGRDSL,SEA2N,2031,1
REGION1,DEMAGRDSL,SEA3D,2031,1
REGION1,DEMAGRDSL,SEA3N,2031,1
REGION1,DEMAGRDSL,SEA4D,2031,1
REGION1,DEMAGRDSL,SEA4N,2031,1
REGION1,DEMAGRDSL,SEA1D,2032,1
REGION1,DEMAGRDSL,SEA1N,2032,1
REGION1,DEMAGRDSL,SEA2D,2032,1
REGION1,DEMAGRDSL,SEA2N,2032,1
REGION1,DEMAGRDSL,SEA3D,2032,1
REGION1,DEMAGRDSL,SEA3N,2032,1
REGION1,DEMAGRDSL,SEA4D,2032,1
REGION1,DEMAGRDSL,SEA4N,2032,1
REGION1,DEMAGRDSL,SEA1D,2033,1
REGION1,DEMAGRDSL,SEA1N,2033,1
REGION1,DEMAGRDSL,SEA2D,2033,1
REGION1,DEMAGRDSL,SEA2N,2033,1
REGION1,DEMAGRDSL,SEA3D,2033,1
REGION1,DEMAGRDSL,SEA3N,2033,1
REGION1,DEMAGRDSL,SEA4D,2033,1
REGION1,DEMAGRDSL,SEA4N,2033,1
REGION1,DEMAGRDSL,SEA1D,2034,1
REGION1,DEMAGRDSL,SEA1N,2034,1
REGION1,DEMAGRDSL,SEA2D,2034,1
REGION1,DEMAGRDSL,SEA2N,2034,1
REGION1,DEMAGRDSL,SEA3D,2034,1
REGION1,DEMAGRDSL,SEA3N,2034,1
REGION1,DEMAGRDSL,SEA4D,2034,1
REGION1,DEMAGRDSL,SEA4N,2034,1
REGION1,DEMAGRDSL,SEA1D,2035,1
REGION1,DEMAGRDSL,SEA1N,2035,1
REGION1,DEMAGRDSL,SEA2D,2035,1
REGION1,DEMAGRDSL,SEA2N,2035,1
REGION1,DEMAGRDSL,SEA3D,2035,1
REGION1,DEMAGRDSL,SEA3N,2035,1
REGION1,DEMAGRDSL,SEA4D,2035,1
REGION1,DEMAGRDSL,SEA4N,2035,1
REGION1,DEMAGRDSL,SEA1D,2036,1
REGION1,DEMAGRDSL,SEA1N,2036,1
REGION1,DEMAGRDSL,SEA2D,2036,1
REGION1,DEMAGRDSL,SEA2N,2036,1
REGION1,DEMAGRDSL,SEA3D,2036,1
REGION1,DEMAGRDSL,SEA3N,2036,1
REGION1,DEMAGRDSL,SEA4D,2036,1
REGION1,DEMAGRDSL,SEA4N,2036,1
